respondent_id,industry,region,exec_level,viz_tool,cynefin_domain,data_type,data_trust,data_quality_score,viz_clarity_score,decision_confidence,decision_speed_score,collaboration_score,cognitive_load_score,d3m_adoption_score,big_data_readiness,years_using_viz,pct_decisions_datadriven,monthly_data_gb,num_dashboards,viz_effective
R0001,IT/Software,Pokhara,CFO,Python/Matplotlib,Complex,Structured,Medium,5,2,2.0,9,2,2,10,5,12,30,48.2,22,0
R0002,Healthcare,Biratnagar,CEO,Power BI,Complicated,Semi-structured,Medium,8,10,1.0,5,5,7,8,6,14,0,13.5,18,0
R0003,Education,Lalitpur,Department Head,Excel Charts,Complex,Structured,Low,5,3,1.0,8,3,2,1,9,16,27,25.6,21,0
R0004,Education,Pokhara,CEO,Excel Charts,Complicated,Unstructured,High,5,4,3.0,8,3,9,5,3,9,95,17.4,12,0
R0005,IT/Software,Kathmandu,CEO,Python/Matplotlib,Complicated,Multi-structured,Low,3,8,,2,3,10,7,10,17,9,60.2,7,0
R0006,Healthcare,Lalitpur,CFO,No Tool,Complex,Unstructured,Medium,9,1,9.0,8,10,4,2,2,8,42,29.1,28,0
R0007,Banking,Biratnagar,COO,No Tool,Complex,Structured,Medium,5,8,2.0,1,4,3,1,1,17,1,46.3,25,0
R0008,Healthcare,Biratnagar,COO,Tableau,Simple,Structured,High,7,8,1.0,6,8,2,1,5,3,90,6.6,7,0
R0009,Retail,Kathmandu,General Manager,Power BI,Chaotic,Multi-structured,High,3,8,7.0,3,5,7,3,3,12,27,114.3,10,0
R0010,Retail,Chitwan,General Manager,Tableau,Complicated,Semi-structured,Medium,7,3,8.0,8,10,5,10,10,8,64,9999.0,21,0
R0011,Banking,Lalitpur,Department Head,No Tool,Complex,Semi-structured,Medium,8,7,4.0,10,4,6,2,10,10,26,11.0,8,0
R0012,IT/Software,Lalitpur,Department Head,Power BI,Chaotic,Structured,Medium,3,6,10.0,1,2,9,6,5,6,51,30.8,10,0
R0013,Banking,Kathmandu,Department Head,Excel Charts,Complex,Multi-structured,Low,9,10,9.0,6,1,9,4,9,3,10,58.5,17,1
R0014,IT/Software,Chitwan,Department Head,Tableau,Complicated,Structured,Medium,1,4,6.0,3,1,6,6,8,8,42,25.6,29,0
R0015,Banking,Biratnagar,General Manager,No Tool,Chaotic,Semi-structured,Medium,5,9,6.0,9,6,2,6,6,9,42,48.6,14,0
R0016,Education,Pokhara,Department Head,Power BI,Complex,Structured,Medium,2,1,1.0,1,1,5,4,7,15,50,43.3,7,0
R0017,Retail,Lalitpur,General Manager,Excel Charts,Complicated,Multi-structured,High,6,1,8.0,4,4,6,3,8,11,16,49.6,29,0
